Individual	ASIR	Hybrid_Classification	Sample_Group	Lifestage	Comment	Hybrid_Generation	Hybrid_Generation2	River_Mile		SL	TL
XtexW20SJR_0189		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0189	450	521
XtexW20SJR_0190		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0190	499	573
XtexW20SJR_0191		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0191	474	546
XtexW20SJR_0192		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0192	464	535
XtexW20SJR_0193		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0193	435	505
XtexW20SJR_0194		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0194	480	552
XtexW20SJR_0195		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0195	389	456
XtexW20SJR_0196		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0196	493	566
XtexW20SJR_0197		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0197	480	552
XtexW20SJR_0198		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0198	396	463
XtexW20SJR_0199		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0199	451	522
XtexW20SJR_0200		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0200	424	493
XtexW20SJR_0202		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0202	468	540
XtexW20SJR_0203		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0203	462	533
XtexW20SJR_0204		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0204	448	518
XtexW20SJR_0205		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0205	450	520
XtexW20SJR_0207		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0207	452	523
XtexW20SJR_0213		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	75.8	XtexW20SJR_0213	17.9	22
XtexW20SJR_0214		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	75.8	XtexW20SJR_0214	11.7	12.7
XtexW20SJR_0216		Xtex_X_ClatBx	XtexW20SJR_LARVAE	LARVAE		3	3	73.5	XtexW20SJR_0216	12	13.5
XtexW20SJR_0218		ClatBx_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	73.5	XtexW20SJR_0218	10	10.7
XtexW20SJR_0219		F1	XtexW20SJR_LARVAE	LARVAE		1	1	73.5	XtexW20SJR_0219	10.5	11
XtexW20SJR_0220		ClatBx_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	73.5	XtexW20SJR_0220	10.2	10.7
XtexW20SJR_0222		Xtex_X_ClatBx	XtexW20SJR_LARVAE	LARVAE		3	3	73.5	XtexW20SJR_0222	10.3	10.8
XtexW20SJR_0223		Xtex_X_ClatBx	XtexW20SJR_LARVAE	LARVAE		3	3	73.5	XtexW20SJR_0223	10	10.5
XtexW20SJR_0224		ClatBx_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	73.5	XtexW20SJR_0224	9.7	10
XtexW20SJR_0225		ClatBx_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	71.6	XtexW20SJR_0225	18.3	22.9
XtexW20SJR_0226		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	71.6	XtexW20SJR_0226	14.3	17
XtexW20SJR_0227		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	71.6	XtexW20SJR_0227	12.2	13.5
XtexW20SJR_0228		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0228	19.3	23.9
XtexW20SJR_0229		Clat_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	68.5	XtexW20SJR_0229	17.7	21.5
XtexW20SJR_0230		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0230	15.4	19.5
XtexW20SJR_0231		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0231	20.9	26.3
XtexW20SJR_0232		F1	XtexW20SJR_LARVAE	LARVAE		1	1	68.5	XtexW20SJR_0232	17.4	22.1
XtexW20SJR_0233		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0233	15.4	20.2
XtexW20SJR_0234		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0234	14.7	18.4
XtexW20SJR_0235		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0235	17.3	20.5
XtexW20SJR_0236		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0236	16.9	21.3
XtexW20SJR_0237		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0237	19.6	24.8
XtexW20SJR_0238		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0238	17.6	23.2
XtexW20SJR_0239		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0239	21.5	28.3
XtexW20SJR_0240		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0240	16.2	21.2
XtexW20SJR_0241		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0241	17.5	22.4
XtexW20SJR_0242		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0242	18.7	23.6
XtexW20SJR_0243		F1	XtexW20SJR_JUV	JUV		1	1	68.5	XtexW20SJR_0243	18.8	24.3
XtexW20SJR_0244		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0244	16.4	20.1
XtexW20SJR_0245		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0245	18.7	24
XtexW20SJR_0246		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0246	18.2	22.6
XtexW20SJR_0247		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0247	15.8	20.6
XtexW20SJR_0248		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0248	16.1	20.9
XtexW20SJR_0249		RBS	XtexW20SJR_JUV	JUV		0	RBS	68.5	XtexW20SJR_0249	22.3	28.5
XtexW20SJR_0250		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	67.6	XtexW20SJR_0250	13.1	14.9
XtexW20SJR_0251		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	62.3	XtexW20SJR_0251	16.3	21
XtexW20SJR_0252		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0252	18.1	22.4
XtexW20SJR_0253		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0253	18.7	23.4
XtexW20SJR_0254		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0254	19.9	26.1
XtexW20SJR_0255		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0255	19.9	26.6
XtexW20SJR_0256		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0256	17.1	21
XtexW20SJR_0257		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0257	18.2	23.9
XtexW20SJR_0258		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0258	19.2	23.7
XtexW20SJR_0259		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0259	18.6	22.9
XtexW20SJR_0260		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0260	21.8	27.8
XtexW20SJR_0261		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0261	16.6	20.7
XtexW20SJR_0262		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0262	19.5	23.9
XtexW20SJR_0263		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0263	23	29.3
XtexW20SJR_0264		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0264	18.9	24.6
XtexW20SJR_0265		F1	XtexW20SJR_LARVAE	LARVAE		1	1	57.9	XtexW20SJR_0265	10.6	11.5
XtexW20SJR_0266		F1	XtexW20SJR_LARVAE	LARVAE		1	1	57.9	XtexW20SJR_0266	11.4	12
XtexW20SJR_0267		F1	XtexW20SJR_LARVAE	LARVAE		1	1	57.9	XtexW20SJR_0267	11.8	13
XtexW20SJR_0268		F1	XtexW20SJR_LARVAE	LARVAE		1	1	57.9	XtexW20SJR_0268	10.8	11.5
XtexW20SJR_0269		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0269	11.8	12.3
XtexW20SJR_0270		Clat_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	57.9	XtexW20SJR_0270	11.1	12.2
XtexW20SJR_0271		F1	XtexW20SJR_LARVAE	LARVAE		1	1	57.9	XtexW20SJR_0271	10.4	11.1
XtexW20SJR_0272		Xtex_X_XtexBx	XtexW20SJR_JUV	JUV		3	3	52.4	XtexW20SJR_0272	26.5	33.7
XtexW20SJR_0273		RBS	XtexW20SJR_JUV	JUV		0	RBS	52.4	XtexW20SJR_0273	21.2	26.6
XtexW20SJR_0274		RBS	XtexW20SJR_JUV	JUV		0	RBS	52.4	XtexW20SJR_0274	23.5	30.2
XtexW20SJR_0275		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	52.4	XtexW20SJR_0275	18.7	24.2
XtexW20SJR_0276		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	52.4	XtexW20SJR_0276	17.6	21.7
XtexW20SJR_0277		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	52.4	XtexW20SJR_0277	14.3	17.6
XtexW20SJR_0278		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	52.4	XtexW20SJR_0278	16.5	21.1
XtexW20SJR_0279		Xtex_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	52.4	XtexW20SJR_0279	9.8	10.2
XtexW20SJR_0280		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	52.4	XtexW20SJR_0280	11	11.6
XtexW20SJR_0281		F1	XtexW20SJR_LARVAE	LARVAE		1	1	52.4	XtexW20SJR_0281	10.3	10.9
XtexW20SJR_0282		F1	XtexW20SJR_LARVAE	LARVAE		1	1	51.4	XtexW20SJR_0282	18.9	24.5
XtexW20SJR_0283		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	43.5	XtexW20SJR_0283	18.8	23.9
XtexW20SJR_0290		F1	XtexW20SJR_LARVAE	LARVAE		1	1	17.7	XtexW20SJR_0290	19.6	23.6
XtexW20SJR_0292		F1	XtexW20SJR_LARVAE	LARVAE		1	1	10	XtexW20SJR_0292	11.1	12.4
XtexW20SJR_0293		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	10	XtexW20SJR_0293	10.8	11
XtexW20SJR_0294		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	10	XtexW20SJR_0294	11.8	13.2
XtexW20SJR_0295		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	10	XtexW20SJR_0295	9.9	10.4
XtexW20SJR_0296		F1	XtexW20SJR_LARVAE	LARVAE		1	1	10	XtexW20SJR_0296	9.4	9.8
XtexW20SJR_0297		F1	XtexW20SJR_LARVAE	LARVAE		1	1	10	XtexW20SJR_0297	11.1	13.5
XtexW20SJR_0298		RBS	XtexW20SJR_JUV	JUV		0	RBS	9.6	XtexW20SJR_0298	27.8	34.5
XtexW20SJR_0299		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	9.6	XtexW20SJR_0299	10.9	12.1
XtexW20SJR_0301		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	9.6	XtexW20SJR_0301	13.6	16.8
XtexW20SJR_0302		F1	XtexW20SJR_LARVAE	LARVAE		1	1	9.6	XtexW20SJR_0302	10.9	11.5
XtexW20SJR_0303		F1	XtexW20SJR_LARVAE	LARVAE		1	1	9.6	XtexW20SJR_0303	10.2	11
XtexW20SJR_0304		F1	XtexW20SJR_LARVAE	LARVAE		1	1	9.6	XtexW20SJR_0304	10	10.5
XtexW20SJR_0305		F1	XtexW20SJR_LARVAE	LARVAE		1	1	9.6	XtexW20SJR_0305	9.8	10.2
XtexW20SJR_0306		F1	XtexW20SJR_LARVAE	LARVAE		1	1	9.6	XtexW20SJR_0306	9.9	10.4
XtexW20SJR_0307		F1	XtexW20SJR_LARVAE	LARVAE		1	1	9.6	XtexW20SJR_0307	10	10.5
XtexW20SJR_0308		Clat_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	9.6	XtexW20SJR_0308	9.6	10
XtexW20SJR_0309		RBS	XtexW20SJR_JUV	JUV		0	RBS	8.1	XtexW20SJR_0309	25.7	32.1
XtexW20SJR_0310		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	8.1	XtexW20SJR_0310	17.9	21.6
XtexW20SJR_0311		RBS	XtexW20SJR_JUV	JUV		0	RBS	3.3	XtexW20SJR_0311	20.2	25.8
XtexW20SJR_0312		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	3.3	XtexW20SJR_0312	16.5	20.8
XtexW20SJR_0313		RBS	XtexW20SJR_JUV	JUV		0	RBS	74.4	XtexW20SJR_0313	19.6	24.5
XtexW20SJR_0314		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	68.5	XtexW20SJR_0314	17.5	22.5
XtexW20SJR_0315		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0315	20.6	25.3
XtexW20SJR_0316		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0316	28.1	36.2
XtexW20SJR_0317		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0317	23.4	31.4
XtexW20SJR_0318		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0318	24.8	31.9
XtexW20SJR_0319		RBS	XtexW20SJR_JUV	JUV		0	RBS	57.9	XtexW20SJR_0319	20.6	26.6
XtexW20SJR_0320		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	57.9	XtexW20SJR_0320	10.3	11
XtexW20SJR_0321		Xtex_X_XtexBx	XtexW20SJR_LARVAE	LARVAE		3	3	48.1	XtexW20SJR_0321	9.8	10.2
XtexW20SJR_0322		RBS	XtexW20SJR_JUV	JUV		0	RBS	43.5	XtexW20SJR_0322	27.2	33.8
XtexW20SJR_0323		RBS	XtexW20SJR_JUV	JUV		0	RBS	41.2	XtexW20SJR_0323	21.4	27.9
XtexW20SJR_0324		RBS	XtexW20SJR_JUV	JUV		0	RBS	41.2	XtexW20SJR_0324	24.1	30.6
XtexW20SJR_0325		RBS	XtexW20SJR_JUV	JUV		0	RBS	41.2	XtexW20SJR_0325	19.9	25.8
XtexW20SJR_0326		F1	XtexW20SJR_LARVAE	LARVAE		1	1	41.2	XtexW20SJR_0326	12.5	13.3
XtexW20SJR_0327		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	41.2	XtexW20SJR_0327	9.1	9.7
XtexW20SJR_0328		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	41.2	XtexW20SJR_0328	10.4	11
XtexW20SJR_0329		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	41.2	XtexW20SJR_0329	10.3	11
XtexW20SJR_0330		F1	XtexW20SJR_LARVAE	LARVAE		1	1	31.9	XtexW20SJR_0330	12.1	13.4
XtexW20SJR_0331		RBS	XtexW20SJR_JUV	JUV		0	RBS	20.6	XtexW20SJR_0331	22.8	28.6
XtexW20SJR_0332		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	19.4	XtexW20SJR_0332	10.5	10.8
XtexW20SJR_0333		RBS	XtexW20SJR_JUV	JUV		0	RBS	10	XtexW20SJR_0333	26.1	33.4
XtexW20SJR_0334		RBS	XtexW20SJR_JUV	JUV		0	RBS	8.6	XtexW20SJR_0334	20.1	26.7
XtexW20SJR_0335		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	8.1	XtexW20SJR_0335	10.6	11
XtexW20SJR_0336		F1	XtexW20SJR_LARVAE	LARVAE		1	1	8.1	XtexW20SJR_0336	12.5	14
XtexW20SJR_0337		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	3.2	XtexW20SJR_0337	9.6	10
XtexW20SJR_0338		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	166.6	XtexW20SJR_0338	9.8	10
XtexW20SJR_0339		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	166.6	XtexW20SJR_0339	9.9	10.2
XtexW20SJR_0340		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	166.6	XtexW20SJR_0340	9.2	9.8
XtexW20SJR_0341		F1	XtexW20SJR_LARVAE	LARVAE		1	1	166.6	XtexW20SJR_0341	9.5	10
XtexW20SJR_0343		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	162.6	XtexW20SJR_0343	9.5	10
XtexW20SJR_0344		F1	XtexW20SJR_LARVAE	LARVAE		1	1	161.2	XtexW20SJR_0344	10.8	11
XtexW20SJR_0345		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	180	XtexW20SJR_0345	10	10.5
XtexW20SJR_0346		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	179	XtexW20SJR_0346	10.5	11
XtexW20SJR_0348		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	170.9	XtexW20SJR_0348	11	11.8
XtexW20SJR_0349		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	184.3	XtexW20SJR_0349	10.2	10.7
XtexW20SJR_0350		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	184.3	XtexW20SJR_0350	10.5	11
XtexW20SJR_0351		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	184.3	XtexW20SJR_0351	11.3	11.8
XtexW20SJR_0352		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	184.3	XtexW20SJR_0352	11.2	11.8
XtexW20SJR_0353		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	184.3	XtexW20SJR_0353	9	9.4
XtexW20SJR_0354		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	184.3	XtexW20SJR_0354	10	10.3
XtexW20SJR_0355		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	184.3	XtexW20SJR_0355	9.8	10
XtexW20SJR_0356		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	182.7	XtexW20SJR_0356	10.2	10.8
XtexW20SJR_0358		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	182.7	XtexW20SJR_0358	10.8	11
XtexW20SJR_0361		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0361	12	12.5
XtexW20SJR_0362		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0362	10	10.5
XtexW20SJR_0363		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0363	10	10.5
XtexW20SJR_0364		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0364	10.2	10.6
XtexW20SJR_0365		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0365	10.5	11
XtexW20SJR_0366		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0366	11.6	12
XtexW20SJR_0367		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0367	12	12.5
XtexW20SJR_0368		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0368	11.2	11.7
XtexW20SJR_0369		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0369	10.4	10.8
XtexW20SJR_0370		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0370	11.5	12
XtexW20SJR_0371		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0371	10.6	11
XtexW20SJR_0372		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0372	11	11.5
XtexW20SJR_0373		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0373	11.1	11.5
XtexW20SJR_0374		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	181.3	XtexW20SJR_0374	9.2	9.5
XtexW20SJR_0375		F1	XtexW20SJR_LARVAE	LARVAE		1	1	181.3	XtexW20SJR_0375	10.6	11
XtexW20SJR_0376		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	76.2	XtexW20SJR_0376	18.4	22.3
XtexW20SJR_0377		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	76.2	XtexW20SJR_0377	10.5	11.8
XtexW20SJR_0378		RBS	XtexW20SJR_JUV	JUV		0	RBS	74.8	XtexW20SJR_0378	26.1	33.9
XtexW20SJR_0379		RBS	XtexW20SJR_JUV	JUV		0	RBS	74.8	XtexW20SJR_0379	27.6	36.2
XtexW20SJR_0380		RBS	XtexW20SJR_JUV	JUV		0	RBS	74.8	XtexW20SJR_0380	18.8	23.2
XtexW20SJR_0381		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	59.8	XtexW20SJR_0381	12.2	13.6
XtexW20SJR_0382		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	32.4	XtexW20SJR_0382	14.3	16.7
XtexW20SJR_0383		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	9.6	XtexW20SJR_0383	13.8	15.6
XtexW20SJR_0384		RBS	XtexW20SJR_LARVAE	LARVAE		0	RBS	5.7	XtexW20SJR_0384	13.7	15.6
XtexW21SJR_0311		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0311	138	165
XtexW21SJR_0312		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0312	117	145
XtexW21SJR_0313		FMS	XtexW21SJR_age1	age1		0	FMS		XtexW21SJR_0313	115	153
XtexW21SJR_0314		ClatBx_X_XtexBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0314	199	146
XtexW21SJR_0315		Clat_X_XtexBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0315	144	160
XtexW21SJR_0316		Clat_X_ClatBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0316	92	109
XtexW21SJR_0317		Clat_X_ClatBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0317	136	168
XtexW21SJR_0318		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0318	120	142
XtexW21SJR_0319		ClatBx_X_XtexBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0319	115	143
XtexW21SJR_0320		FMS	XtexW21SJR_age1	age1		0	FMS		XtexW21SJR_0320	157	179
XtexW21SJR_0321		ClatBx_X_XtexBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0321	109	132
XtexW21SJR_0322		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0322	136	180
XtexW21SJR_0323		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0323	108	134
XtexW21SJR_0324		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0324	130	165
XtexW21SJR_0325		ClatBx_X_XtexBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0325	136	172
XtexW21SJR_0326		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0326	138	166
XtexW21SJR_0327		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0327	155	183
XtexW21SJR_0328		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0328	123	153
XtexW21SJR_0329		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0329	103	127
XtexW21SJR_0330		Clat_X_XtexBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0330	152	185
XtexW21SJR_0331		Clat_X_ClatBx	XtexW21SJR_age1	age1		3	3		XtexW21SJR_0331	140	174
XtexW21SJR_0332		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0332	105	131
XtexW21SJR_0333		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0333	143	182
XtexW21SJR_0334		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0334	154	196
XtexW21SJR_0335		RBS	XtexW21SJR_age1	age1		0	RBS		XtexW21SJR_0335	95	123
XtexW21SJR_0336		RBS	XtexW21SJR_age1	age1		0	RBS		XtexW21SJR_0336	353	431
XtexW21SJR_0337		F1	XtexW21SJR_age1	age1		1	1		XtexW21SJR_0337	182	102
XtexW21SJR_0338		RBS	XtexW21SJR_age1	age1		0	RBS		XtexW21SJR_0338	324	390
XtexW21SJR_0339		RBS	XtexW21SJR_age0	age0		0	RBS		XtexW21SJR_0339		58
XtexW21SJR_0340		ClatBx	XtexW21SJR_age1	age1		2	2		XtexW21SJR_0340		240
XtexW21SJR_0427		RBS	XtexW21SJR_JUV	JUV		0	RBS	-5	XtexW21SJR_0427	18.4	22.5
XtexW21SJR_0428		RBS	XtexW21SJR_JUV	JUV		0	RBS	-5	XtexW21SJR_0428	19.8	26.5
XtexW21SJR_0429		RBS	XtexW21SJR_JUV	JUV		0	RBS	-6	XtexW21SJR_0429	25.8	33.4
XtexW21SJR_0430		F1	XtexW21SJR_JUV	JUV		1	1	-7	XtexW21SJR_0430	22.6	30.5
XtexW21SJR_0748		F1	XtexW21SJR_JUV	JUV		1	1	107	XtexW21SJR_0748	23.6	30.3
XtexW21SJR_0749		F1	XtexW21SJR_JUV	JUV		1	1	107	XtexW21SJR_0749	29.3	37.9
XtexW21SJR_0753		RBS	XtexW21SJR_JUV	JUV		0	RBS	123.2	XtexW21SJR_0753	19.5	25.5
XtexW21SJR_0756		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0756	21.3	26.7
XtexW21SJR_0757		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0757	20.5	27.2
XtexW21SJR_0758		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0758	19.4	23.7
XtexW21SJR_0759		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0759	20.8	26.8
XtexW21SJR_0760		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0760	17.1	21.5
XtexW21SJR_0762		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0762	17.7	22.4
XtexW21SJR_0763		FMS	XtexW21SJR_JUV	JUV		0	FMS	113.8	XtexW21SJR_0763	22	27.5
XtexW21SJR_0764		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0764	23	30.6
XtexW21SJR_0765		F1	XtexW21SJR_JUV	JUV		1	1	113.8	XtexW21SJR_0765	20.1	25.7
XtexW21SJR_0766		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0766	19.6	24.5
XtexW21SJR_0767		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0767	19.1	23.6
