Individual	ASIR	Hybrid_Classification	Sample_Group	Lifestage	Comment	Hybrid_Generation	Hybrid_Generation2	River_Mile		SL	TL
XtexW19SJR_0195		RBS	XtexW19SJR_JUV	JUV		0	RBS	57.9	XtexW19SJR_0195	27.8	35.6
XtexW19SJR_0196		FMS	XtexW19SJR_JUV	JUV		0	FMS	94	XtexW19SJR_0196	32.6	42.1
XtexW19SJR_0197		RBS	XtexW19SJR_JUV	JUV		0	RBS	94.1	XtexW19SJR_0197	36.5	46.1
XtexW19SJR_0198		RBS	XtexW19SJR_JUV	JUV		0	RBS	57.9	XtexW19SJR_0198	37.9	49.2
XtexW20SJR_0001		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0001	87	111
XtexW20SJR_0002		Xtex_X_ClatBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0002	98	121
XtexW20SJR_0003		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0003	92	116
XtexW20SJR_0004		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0004	106	134
XtexW20SJR_0005		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0005	95	123
XtexW20SJR_0006		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0006	98	125
XtexW20SJR_0007		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0007	110	136
XtexW20SJR_0008		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0008	115	146
XtexW20SJR_0010		ClatBx_X_F1	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0010	136	160
XtexW20SJR_0011		ClatBx_X_XtexBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0011	116	147
XtexW20SJR_0012		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0012	103	128
XtexW20SJR_0013		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0013	133	166
XtexW20SJR_0014		Clat_X_XtexBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0014	113	142
XtexW20SJR_0015		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0015	98	124
XtexW20SJR_0016		Xtex_X_ClatBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0016	135	163
XtexW20SJR_0017		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0017	146	184
XtexW20SJR_0018		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0018	115	146
XtexW20SJR_0019		Xtex_X_ClatBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0019	103	129
XtexW20SJR_0020		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0020	116	146
XtexW20SJR_0021		Clat_X_ClatBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0021	131	162
XtexW20SJR_0022		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0022	119	149
XtexW20SJR_0023		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0023	121	150
XtexW20SJR_0024		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0024	106	132
XtexW20SJR_0025		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0025	107	139
XtexW20SJR_0026		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0026	115	143
XtexW20SJR_0027		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0027	119	146
XtexW20SJR_0028		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0028	122	151
XtexW20SJR_0029		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0029	138	167
XtexW20SJR_0030		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0030	122	151
XtexW20SJR_0031		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0031	134	165
XtexW20SJR_0032		ClatBx	XtexW20SJR_age1	age1		2	2		XtexW20SJR_0032	125	153
XtexW20SJR_0033		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0033	129	150
XtexW20SJR_0034		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0034	118	149
XtexW20SJR_0035		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0035	117	146
XtexW20SJR_0036		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0036	93	115
XtexW20SJR_0037		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0037	114	141
XtexW20SJR_0038		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0038	114	140
XtexW20SJR_0039		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0039	125	158
XtexW20SJR_0040		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0040	96	118
XtexW20SJR_0041		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0041	117	145
XtexW20SJR_0042		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0042	128	163
XtexW20SJR_0043		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0043	124	151
XtexW20SJR_0044		Clat_X_XtexBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0044	123	152
XtexW20SJR_0045		Clat_X_ClatBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0045	132	163
XtexW20SJR_0046		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0046	129	160
XtexW20SJR_0047		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0047	139	174
XtexW20SJR_0048		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0048	153	186
XtexW20SJR_0049		ClatBx_X_XtexBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0049	134	164
XtexW20SJR_0050		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0050	88	113
XtexW20SJR_0051		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0051	145	179
XtexW20SJR_0052		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0052	108	136
XtexW20SJR_0053		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0053	124	154
XtexW20SJR_0054		Xtex_X_ClatBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0054	100	137
