cat	bpp
FMSBx_X_RBSBx	0.987753333
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
F1	1
F1	1
F1	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	0.99934
RBS	1
RBS	1
RBS_X_RBSBx	0.55988
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS_X_FMSBx	0.99959
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_FMSBx	1
F1	1
RBS	1
RBS_X_RBSBx	0.992693333
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS_X_RBSBx	0.99998
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
F1	1
F1	1
F1	1
F1	1
F1	1
RBS	1
RBS	1
RBS	1
FMSBx_X_RBSBx	1
RBS	1
FMS	1
RBS	1
RBS	1
F1	0.99996
RBS_X_FMSBx	0.706673333
F1	1
F1	1
F1	0.980953333
F1	0.99985
F1	1
F1	1
FMSBx_X_F1	0.999173333
FMSBx_X_RBSBx	0.5912
F1	1
F1	0.99993
FMS_X_RBSBx	0.837793333
F1	0.990823333
RBS_X_FMSBx	0.970433333
F1	1
F1	1
RBS_X_FMSBx	0.996263333
F1	1
FMS_X_FMSBx	1
F1	0.515863333
F1	0.99996
F1	1
F1	0.99985
F1	0.998273333
F1	1
F1	0.99999
F1	1
F1	1
F1	1
FMSBx	0.999963333
F1	1
F1	1
F1	0.99999
F1	1
F1	1
F1	1
F1	1
F1	0.99998
F1	1
F1	1
F1	1
FMS_X_RBSBx	0.927516667
FMS_X_FMSBx	1
F1	1
F1	1
F1	1
FMSBx_X_RBSBx	1
F1	0.99958
F1	1
F1	0.99999
F1	1
RBS_X_FMSBx	0.79719
RBS_X_FMSBx	0.995773333
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	1
RBS	1
RBS_X_RBSBx	1
RBS	1
