Visual_ID	Age_Class	Ancestry_Class	Count
3-RBS	Age_1+	7-Gen_3	21
3-RBS	Age_1+	3-RBS	4
3-RBS	Age_1+	6-RBS_Bx	0
3-RBS	Juvenile	1-BHS	0
3-RBS	Juvenile	4-F1	29
3-RBS	Juvenile	2-FMS	2
3-RBS	Juvenile	5-FMS_Bx	1
3-RBS	Juvenile	7-Gen_3	16
3-RBS	Juvenile	3-RBS	256
3-RBS	Juvenile	6-RBS_Bx	3
3-RBS	Larvae	1-BHS	0
3-RBS	Larvae	4-F1	25
3-RBS	Larvae	2-FMS	0
3-RBS	Larvae	5-FMS_Bx	0
3-RBS	Larvae	7-Gen_3	13
3-RBS	Larvae	3-RBS	84
3-RBS	Larvae	6-RBS_Bx	0
