param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_99_pop_0,0.000057,0.000001,0.000000,0.000504
q_ind_100_pop_0,0.004476,0.004418,0.002661,0.006665
q_ind_101_pop_0,0.000058,0.000002,0.000000,0.000533
q_ind_102_pop_0,0.002978,0.002893,0.000934,0.005518
q_ind_103_pop_0,0.000423,0.000056,0.000000,0.002190
q_ind_104_pop_0,0.001179,0.001138,0.000000,0.002986
q_ind_105_pop_0,0.007196,0.007129,0.004321,0.010554
q_ind_106_pop_0,0.000223,0.000010,0.000000,0.001578
q_ind_107_pop_0,0.004038,0.003948,0.001872,0.006567
q_ind_108_pop_0,0.000027,0.000001,0.000000,0.000249
q_ind_109_pop_0,0.003885,0.003830,0.002328,0.005769
q_ind_110_pop_0,0.000029,0.000001,0.000000,0.000257
q_ind_111_pop_0,0.000031,0.000001,0.000000,0.000267
q_ind_112_pop_0,0.000080,0.000002,0.000000,0.000684
q_ind_113_pop_0,0.001734,0.001669,0.000465,0.003351
q_ind_114_pop_0,0.000040,0.000001,0.000000,0.000349
q_ind_115_pop_0,0.000166,0.000033,0.000000,0.000951
q_ind_116_pop_0,0.000029,0.000001,0.000000,0.000260
q_ind_117_pop_0,0.006052,0.005990,0.004057,0.008415
q_ind_118_pop_0,0.000041,0.000001,0.000000,0.000352
q_ind_119_pop_0,0.000029,0.000001,0.000000,0.000252
q_ind_120_pop_0,0.000052,0.000001,0.000000,0.000449
q_ind_121_pop_0,0.000264,0.000021,0.000000,0.001640
q_ind_122_pop_0,0.000050,0.000001,0.000000,0.000444
q_ind_123_pop_0,0.000033,0.000001,0.000000,0.000304
q_ind_124_pop_0,0.000031,0.000001,0.000000,0.000275
q_ind_125_pop_0,0.000050,0.000001,0.000000,0.000419
q_ind_126_pop_0,0.000538,0.000174,0.000000,0.002432
q_ind_127_pop_0,0.000051,0.000001,0.000000,0.000456
q_ind_128_pop_0,0.000029,0.000001,0.000000,0.000249
q_ind_129_pop_0,0.000032,0.000001,0.000000,0.000284
q_ind_130_pop_0,0.000041,0.000001,0.000000,0.000356
q_ind_131_pop_0,0.000036,0.000001,0.000000,0.000332
q_ind_132_pop_0,0.000035,0.000001,0.000000,0.000331
q_ind_133_pop_0,0.000030,0.000001,0.000000,0.000280
q_ind_134_pop_0,0.000119,0.000006,0.000000,0.000846
q_ind_135_pop_0,0.002757,0.002653,0.000577,0.005404
q_ind_136_pop_0,0.001569,0.001482,0.000000,0.004228
q_ind_137_pop_0,0.000030,0.000001,0.000000,0.000274
q_ind_138_pop_0,0.000029,0.000001,0.000000,0.000262
q_ind_139_pop_0,0.000030,0.000001,0.000000,0.000271
q_ind_140_pop_0,0.000030,0.000001,0.000000,0.000270
q_ind_141_pop_0,0.000033,0.000001,0.000000,0.000284
q_ind_142_pop_0,0.000029,0.000001,0.000000,0.000260
q_ind_143_pop_0,0.000045,0.000001,0.000000,0.000413
q_ind_144_pop_0,0.000031,0.000001,0.000000,0.000267
q_ind_145_pop_0,0.000048,0.000001,0.000000,0.000428
q_ind_146_pop_0,0.000058,0.000002,0.000000,0.000484
q_ind_147_pop_0,0.000045,0.000001,0.000000,0.000410
q_ind_148_pop_0,0.000047,0.000001,0.000000,0.000414
q_ind_149_pop_0,0.000035,0.000001,0.000000,0.000315
q_ind_150_pop_0,0.000121,0.000009,0.000000,0.000849
