param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_99_pop_0,0.999885,1.000000,0.999013,1.000000
q_ind_100_pop_0,0.999990,1.000000,0.999897,1.000000
q_ind_101_pop_0,0.000004,0.000000,0.000000,0.000039
q_ind_102_pop_0,0.000012,0.000000,0.000000,0.000152
q_ind_103_pop_0,0.000004,0.000000,0.000000,0.000046
q_ind_104_pop_0,0.000003,0.000000,0.000000,0.000029
q_ind_105_pop_0,0.000003,0.000000,0.000000,0.000031
q_ind_106_pop_0,0.000003,0.000000,0.000000,0.000027
q_ind_107_pop_0,0.000007,0.000000,0.000000,0.000078
q_ind_108_pop_0,0.000006,0.000000,0.000000,0.000061
q_ind_109_pop_0,0.000011,0.000000,0.000000,0.000147
q_ind_110_pop_0,0.000003,0.000000,0.000000,0.000029
q_ind_111_pop_0,0.000003,0.000000,0.000000,0.000030
q_ind_112_pop_0,0.000004,0.000000,0.000000,0.000040
q_ind_113_pop_0,0.000004,0.000000,0.000000,0.000036
q_ind_114_pop_0,0.000422,0.000376,0.000000,0.001331
q_ind_115_pop_0,0.003481,0.003447,0.002269,0.004893
q_ind_116_pop_0,0.006356,0.006306,0.004456,0.008519
q_ind_117_pop_0,0.002049,0.001999,0.001042,0.003358
q_ind_118_pop_0,0.000004,0.000000,0.000000,0.000041
q_ind_119_pop_0,0.000004,0.000000,0.000000,0.000032
q_ind_120_pop_0,0.000003,0.000000,0.000000,0.000033
q_ind_121_pop_0,0.000005,0.000000,0.000000,0.000050
q_ind_122_pop_0,0.000004,0.000000,0.000000,0.000037
q_ind_123_pop_0,0.000004,0.000000,0.000000,0.000045
q_ind_124_pop_0,0.000179,0.000102,0.000000,0.000788
q_ind_125_pop_0,0.000004,0.000000,0.000000,0.000038
q_ind_126_pop_0,0.000004,0.000000,0.000000,0.000034
q_ind_127_pop_0,0.000005,0.000000,0.000000,0.000059
q_ind_128_pop_0,0.000047,0.000000,0.000000,0.000540
q_ind_129_pop_0,0.000007,0.000000,0.000000,0.000091
q_ind_130_pop_0,0.000003,0.000000,0.000000,0.000035
q_ind_131_pop_0,0.000005,0.000000,0.000000,0.000037
q_ind_132_pop_0,0.000003,0.000000,0.000000,0.000035
q_ind_133_pop_0,0.000003,0.000000,0.000000,0.000031
q_ind_134_pop_0,0.000004,0.000000,0.000000,0.000036
q_ind_135_pop_0,0.000070,0.000000,0.000000,0.000545
q_ind_136_pop_0,0.000004,0.000000,0.000000,0.000033
q_ind_137_pop_0,0.000004,0.000000,0.000000,0.000038
q_ind_138_pop_0,0.000003,0.000000,0.000000,0.000028
q_ind_139_pop_0,0.000003,0.000000,0.000000,0.000030
q_ind_140_pop_0,0.000004,0.000000,0.000000,0.000034
q_ind_141_pop_0,0.000003,0.000000,0.000000,0.000031
q_ind_142_pop_0,0.000003,0.000000,0.000000,0.000029
q_ind_143_pop_0,0.000006,0.000000,0.000000,0.000059
q_ind_144_pop_0,0.000003,0.000000,0.000000,0.000027
q_ind_145_pop_0,0.000004,0.000000,0.000000,0.000028
q_ind_146_pop_0,0.000004,0.000000,0.000000,0.000040
q_ind_147_pop_0,0.000003,0.000000,0.000000,0.000028
q_ind_148_pop_0,0.000003,0.000000,0.000000,0.000028
q_ind_149_pop_0,0.000003,0.000000,0.000000,0.000032
q_ind_150_pop_0,0.000003,0.000000,0.000000,0.000035
q_ind_151_pop_0,0.000003,0.000000,0.000000,0.000031
q_ind_152_pop_0,0.000004,0.000000,0.000000,0.000044
q_ind_153_pop_0,0.000003,0.000000,0.000000,0.000026
q_ind_154_pop_0,0.000004,0.000000,0.000000,0.000036
q_ind_155_pop_0,0.000003,0.000000,0.000000,0.000034
q_ind_156_pop_0,0.000006,0.000000,0.000000,0.000055
q_ind_157_pop_0,0.000003,0.000000,0.000000,0.000032
q_ind_158_pop_0,0.000005,0.000000,0.000000,0.000052
q_ind_159_pop_0,0.000004,0.000000,0.000000,0.000047
q_ind_160_pop_0,0.000004,0.000000,0.000000,0.000041
q_ind_161_pop_0,0.000003,0.000000,0.000000,0.000035
q_ind_162_pop_0,0.000007,0.000000,0.000000,0.000080
q_ind_163_pop_0,0.000003,0.000000,0.000000,0.000030
q_ind_164_pop_0,0.000003,0.000000,0.000000,0.000025
q_ind_165_pop_0,0.000005,0.000000,0.000000,0.000048
q_ind_166_pop_0,0.000004,0.000000,0.000000,0.000037
q_ind_167_pop_0,0.000004,0.000000,0.000000,0.000036
q_ind_168_pop_0,0.000005,0.000000,0.000000,0.000057
q_ind_169_pop_0,0.000004,0.000000,0.000000,0.000034
q_ind_170_pop_0,0.000004,0.000000,0.000000,0.000038
q_ind_171_pop_0,0.000003,0.000000,0.000000,0.000033
q_ind_172_pop_0,0.000005,0.000000,0.000000,0.000047
q_ind_173_pop_0,0.000003,0.000000,0.000000,0.000032
q_ind_174_pop_0,0.000003,0.000000,0.000000,0.000030
q_ind_175_pop_0,0.000003,0.000000,0.000000,0.000032
q_ind_176_pop_0,0.000003,0.000000,0.000000,0.000030
q_ind_177_pop_0,0.000004,0.000000,0.000000,0.000038
q_ind_178_pop_0,0.000010,0.000000,0.000000,0.000115
q_ind_179_pop_0,0.000004,0.000000,0.000000,0.000036
q_ind_180_pop_0,0.000003,0.000000,0.000000,0.000034
q_ind_181_pop_0,0.000004,0.000000,0.000000,0.000037
q_ind_182_pop_0,0.000003,0.000000,0.000000,0.000032
q_ind_183_pop_0,0.000003,0.000000,0.000000,0.000026
q_ind_184_pop_0,0.000003,0.000000,0.000000,0.000024
q_ind_185_pop_0,0.000003,0.000000,0.000000,0.000032
q_ind_186_pop_0,0.000004,0.000000,0.000000,0.000040
q_ind_187_pop_0,0.000005,0.000000,0.000000,0.000048
q_ind_188_pop_0,0.000004,0.000000,0.000000,0.000033
q_ind_189_pop_0,0.000004,0.000000,0.000000,0.000031
q_ind_190_pop_0,0.000005,0.000000,0.000000,0.000052
q_ind_191_pop_0,0.000003,0.000000,0.000000,0.000033
q_ind_192_pop_0,0.000004,0.000000,0.000000,0.000039
q_ind_193_pop_0,0.000003,0.000000,0.000000,0.000027
q_ind_194_pop_0,0.000004,0.000000,0.000000,0.000039
q_ind_195_pop_0,0.000004,0.000000,0.000000,0.000030
q_ind_196_pop_0,0.000003,0.000000,0.000000,0.000029
q_ind_197_pop_0,0.000004,0.000000,0.000000,0.000039
q_ind_198_pop_0,0.000006,0.000000,0.000000,0.000049
q_ind_199_pop_0,0.000004,0.000000,0.000000,0.000035
q_ind_200_pop_0,0.000006,0.000000,0.000000,0.000066
q_ind_201_pop_0,0.000004,0.000000,0.000000,0.000035
q_ind_202_pop_0,0.000007,0.000000,0.000000,0.000078
q_ind_203_pop_0,0.000003,0.000000,0.000000,0.000029
q_ind_204_pop_0,0.000006,0.000000,0.000000,0.000057
q_ind_205_pop_0,0.000003,0.000000,0.000000,0.000027
q_ind_206_pop_0,0.000003,0.000000,0.000000,0.000034
