param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_91_anc_1-1,0.009755,0.009634,0.006149,0.013972
Q_ind_92_anc_1-1,0.999986,1.000000,0.999839,1.000000
Q_ind_93_anc_1-1,0.927171,0.927240,0.916464,0.936974
Q_ind_94_anc_1-1,0.993314,0.993450,0.989537,0.996268
Q_ind_95_anc_1-1,0.999946,1.000000,0.999471,1.000000
Q_ind_96_anc_1-1,0.999986,1.000000,0.999832,1.000000
Q_ind_97_anc_1-1,0.999969,1.000000,0.999615,1.000000
Q_ind_98_anc_1-1,0.999120,0.999472,0.996628,1.000000
Q_ind_99_anc_1-1,0.996554,0.996668,0.993487,0.999083
Q_ind_100_anc_1-1,0.999984,1.000000,0.999828,1.000000
Q_ind_101_anc_1-1,0.999985,1.000000,0.999824,1.000000
Q_ind_102_anc_1-1,0.999980,1.000000,0.999756,1.000000
Q_ind_103_anc_1-1,0.999976,1.000000,0.999738,1.000000
Q_ind_104_anc_1-1,0.999984,1.000000,0.999808,1.000000
Q_ind_105_anc_1-1,0.999986,1.000000,0.999830,1.000000
Q_ind_106_anc_1-1,0.999983,1.000000,0.999796,1.000000
Q_ind_107_anc_1-1,0.999987,1.000000,0.999860,1.000000
Q_ind_108_anc_1-1,0.999987,1.000000,0.999852,1.000000
Q_ind_109_anc_1-1,0.999981,1.000000,0.999769,1.000000
Q_ind_110_anc_1-1,0.999985,1.000000,0.999837,1.000000
Q_ind_111_anc_1-1,0.999894,1.000000,0.999269,1.000000
Q_ind_112_anc_1-1,0.999986,1.000000,0.999845,1.000000
Q_ind_113_anc_1-1,0.999984,1.000000,0.999809,1.000000
Q_ind_114_anc_1-1,0.999979,1.000000,0.999765,1.000000
Q_ind_115_anc_1-1,0.999986,1.000000,0.999844,1.000000
Q_ind_116_anc_1-1,0.999588,0.999707,0.998505,1.000000
Q_ind_117_anc_1-1,0.999852,1.000000,0.998765,1.000000
Q_ind_118_anc_1-1,0.999984,1.000000,0.999816,1.000000
Q_ind_119_anc_1-1,0.999966,1.000000,0.999578,1.000000
Q_ind_120_anc_1-1,0.999986,1.000000,0.999843,1.000000
Q_ind_121_anc_1-1,0.991271,0.991381,0.987452,0.994422
Q_ind_122_anc_1-1,0.999973,1.000000,0.999690,1.000000
Q_ind_123_anc_1-1,0.999979,1.000000,0.999747,1.000000
Q_ind_124_anc_1-1,0.999981,1.000000,0.999784,1.000000
Q_ind_125_anc_1-1,0.999884,1.000000,0.999098,1.000000
Q_ind_126_anc_1-1,0.999986,1.000000,0.999845,1.000000
Q_ind_127_anc_1-1,0.999986,1.000000,0.999840,1.000000
Q_ind_128_anc_1-1,0.017974,0.017916,0.013275,0.023092
Q_ind_129_anc_1-1,0.999981,1.000000,0.999792,1.000000
Q_ind_130_anc_1-1,0.999906,1.000000,0.999041,1.000000
Q_ind_131_anc_1-1,0.999825,1.000000,0.998529,1.000000
Q_ind_132_anc_1-1,0.005223,0.005107,0.002845,0.008150
Q_ind_133_anc_1-1,0.999975,1.000000,0.999717,1.000000
Q_ind_134_anc_1-1,0.999986,1.000000,0.999826,1.000000
Q_ind_135_anc_1-1,0.004322,0.004190,0.002232,0.007087
Q_ind_136_anc_1-1,0.999977,1.000000,0.999736,1.000000
Q_ind_137_anc_1-1,0.007098,0.006979,0.004263,0.010570
Q_ind_138_anc_1-1,0.999986,1.000000,0.999851,1.000000
Q_ind_139_anc_1-1,0.003638,0.003527,0.001640,0.006299
Q_ind_140_anc_1-1,0.009795,0.009698,0.006461,0.013770
Q_ind_141_anc_1-1,0.004709,0.004582,0.002473,0.007650
Q_ind_142_anc_1-1,0.999977,1.000000,0.999742,1.000000
Q_ind_143_anc_1-1,0.999982,1.000000,0.999807,1.000000
Q_ind_144_anc_1-1,0.999983,1.000000,0.999823,1.000000
Q_ind_145_anc_1-1,0.999986,1.000000,0.999829,1.000000
Q_ind_146_anc_1-1,0.999985,1.000000,0.999826,1.000000
Q_ind_147_anc_1-1,0.999988,1.000000,0.999857,1.000000
Q_ind_148_anc_1-1,0.999969,1.000000,0.999652,1.000000
Q_ind_149_anc_1-1,0.999986,1.000000,0.999835,1.000000
Q_ind_150_anc_1-1,0.999986,1.000000,0.999828,1.000000
Q_ind_151_anc_1-1,0.999987,1.000000,0.999851,1.000000
Q_ind_152_anc_1-1,0.999987,1.000000,0.999849,1.000000
Q_ind_153_anc_1-1,0.999985,1.000000,0.999823,1.000000
Q_ind_154_anc_1-1,0.999986,1.000000,0.999838,1.000000
Q_ind_155_anc_1-1,0.999983,1.000000,0.999797,1.000000
Q_ind_156_anc_1-1,0.999391,0.999997,0.996693,1.000000
Q_ind_157_anc_1-1,0.999978,1.000000,0.999726,1.000000
Q_ind_158_anc_1-1,0.999987,1.000000,0.999852,1.000000
Q_ind_159_anc_1-1,0.999987,1.000000,0.999853,1.000000
Q_ind_160_anc_1-1,0.999986,1.000000,0.999842,1.000000
Q_ind_161_anc_1-1,0.999974,1.000000,0.999714,1.000000
Q_ind_162_anc_1-1,0.999979,1.000000,0.999760,1.000000
Q_ind_163_anc_1-1,0.999985,1.000000,0.999828,1.000000
Q_ind_164_anc_1-1,0.999986,1.000000,0.999847,1.000000
Q_ind_165_anc_1-1,0.999986,1.000000,0.999831,1.000000
Q_ind_166_anc_1-1,0.999933,1.000000,0.999345,1.000000
Q_ind_167_anc_1-1,0.999987,1.000000,0.999851,1.000000
Q_ind_168_anc_1-1,0.999986,1.000000,0.999841,1.000000
