param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_91_anc_1-1,0.990876,0.991033,0.986694,0.994218
Q_ind_92_anc_1-1,0.990413,0.990523,0.986817,0.993583
Q_ind_93_anc_1-1,0.993728,0.993813,0.990917,0.996191
Q_ind_94_anc_1-1,0.983387,0.983494,0.978392,0.987912
Q_ind_95_anc_1-1,0.992711,0.992817,0.989509,0.995323
Q_ind_96_anc_1-1,0.993934,0.994022,0.991041,0.996276
Q_ind_97_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_98_anc_1-1,0.000003,0.000000,0.000000,0.000011
Q_ind_99_anc_1-1,0.000003,0.000000,0.000000,0.000012
Q_ind_100_anc_1-1,0.999882,1.000000,0.999000,1.000000
Q_ind_101_anc_1-1,0.999988,1.000000,0.999867,1.000000
Q_ind_102_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_103_anc_1-1,0.000003,0.000000,0.000000,0.000016
Q_ind_104_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_105_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_106_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_107_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_108_anc_1-1,0.000004,0.000000,0.000000,0.000023
Q_ind_109_anc_1-1,0.000004,0.000000,0.000000,0.000022
Q_ind_110_anc_1-1,0.000003,0.000000,0.000000,0.000010
Q_ind_111_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_112_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_113_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_114_anc_1-1,0.000003,0.000000,0.000000,0.000015
Q_ind_115_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_116_anc_1-1,0.000024,0.000000,0.000000,0.000338
Q_ind_117_anc_1-1,0.001584,0.001503,0.000514,0.003105
Q_ind_118_anc_1-1,0.000335,0.000189,0.000000,0.001370
Q_ind_119_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_120_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_121_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_122_anc_1-1,0.000004,0.000000,0.000000,0.000024
Q_ind_123_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_124_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_125_anc_1-1,0.000169,0.000092,0.000000,0.000779
Q_ind_126_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_127_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_128_anc_1-1,0.000003,0.000000,0.000000,0.000017
Q_ind_129_anc_1-1,0.000045,0.000000,0.000000,0.000538
Q_ind_130_anc_1-1,0.000003,0.000000,0.000000,0.000021
Q_ind_131_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_132_anc_1-1,0.000003,0.000000,0.000000,0.000015
Q_ind_133_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_134_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_135_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_136_anc_1-1,0.000069,0.000000,0.000000,0.000541
Q_ind_137_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_138_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_139_anc_1-1,0.000002,0.000000,0.000000,0.000006
Q_ind_140_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_141_anc_1-1,0.000002,0.000000,0.000000,0.000014
Q_ind_142_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_143_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_144_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_145_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_146_anc_1-1,0.000003,0.000000,0.000000,0.000011
Q_ind_147_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_148_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_149_anc_1-1,0.000002,0.000000,0.000000,0.000006
Q_ind_150_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_151_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_152_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_153_anc_1-1,0.000003,0.000000,0.000000,0.000016
Q_ind_154_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_155_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_156_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_157_anc_1-1,0.000004,0.000000,0.000000,0.000013
Q_ind_158_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_159_anc_1-1,0.000003,0.000000,0.000000,0.000017
Q_ind_160_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_161_anc_1-1,0.000003,0.000000,0.000000,0.000016
Q_ind_162_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_163_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_164_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_165_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_166_anc_1-1,0.000004,0.000000,0.000000,0.000020
Q_ind_167_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_168_anc_1-1,0.000003,0.000000,0.000000,0.000011
Q_ind_169_anc_1-1,0.000004,0.000000,0.000000,0.000033
Q_ind_170_anc_1-1,0.000003,0.000000,0.000000,0.000010
Q_ind_171_anc_1-1,0.000002,0.000000,0.000000,0.000015
Q_ind_172_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_173_anc_1-1,0.000004,0.000000,0.000000,0.000025
Q_ind_174_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_175_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_176_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_177_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_178_anc_1-1,0.000003,0.000000,0.000000,0.000015
Q_ind_179_anc_1-1,0.000003,0.000000,0.000000,0.000018
Q_ind_180_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_181_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_182_anc_1-1,0.000003,0.000000,0.000000,0.000013
Q_ind_183_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_184_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_185_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_186_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_187_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_188_anc_1-1,0.000004,0.000000,0.000000,0.000024
Q_ind_189_anc_1-1,0.000003,0.000000,0.000000,0.000010
Q_ind_190_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_191_anc_1-1,0.000003,0.000000,0.000000,0.000014
Q_ind_192_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_193_anc_1-1,0.000002,0.000000,0.000000,0.000016
Q_ind_194_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_195_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_196_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_197_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_198_anc_1-1,0.000003,0.000000,0.000000,0.000019
Q_ind_199_anc_1-1,0.000004,0.000000,0.000000,0.000017
Q_ind_200_anc_1-1,0.000003,0.000000,0.000000,0.000011
Q_ind_201_anc_1-1,0.000003,0.000000,0.000000,0.000017
Q_ind_202_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_203_anc_1-1,0.000006,0.000000,0.000000,0.000049
Q_ind_204_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_205_anc_1-1,0.000003,0.000000,0.000000,0.000016
Q_ind_206_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_207_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_208_anc_1-1,0.000003,0.000000,0.000000,0.000014
Q_ind_209_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_210_anc_1-1,0.000001,0.000000,0.000000,0.000008
Q_ind_211_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_212_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_213_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_214_anc_1-1,0.000002,0.000000,0.000000,0.000006
